soc_id,var_id,code,pref_name_for_society,title,category,description,name,climate_id,climate_code,climate_title
Ad51,EA202,53000,Ngulu,Population size,Population,NA,NA,AnnualMeanTemperature,21.11174104,Mean value of monthly temperature across the year
Ad6,EA202,163000,Nyakyusa,Population size,Population,NA,NA,AnnualMeanTemperature,17.8583016,Mean value of monthly temperature across the year
Ad7,EA202,6e+05,Ganda,Population size,Population,NA,NA,AnnualMeanTemperature,22.49398223,Mean value of monthly temperature across the year
Ad8,EA202,85000,Hehe,Population size,Population,NA,NA,AnnualMeanTemperature,18.04507859,Mean value of monthly temperature across the year
Ad9,EA202,250000,Gisu,Population size,Population,NA,NA,AnnualMeanTemperature,21.76807238,Mean value of monthly temperature across the year
Ae1,EA202,18000,Amba,Population size,Population,NA,NA,AnnualMeanTemperature,19.30406862,Mean value of monthly temperature across the year
Ae10,EA202,2133000,Banyaruanda,Population size,Population,NA,NA,AnnualMeanTemperature,16.73643853,Mean value of monthly temperature across the year
Ae11,EA202,1e+05,Songola,Population size,Population,NA,NA,AnnualMeanTemperature,22.24259201,Mean value of monthly temperature across the year
Ae12,EA202,40000,Duala,Population size,Population,NA,NA,AnnualMeanTemperature,24.23693973,Mean value of monthly temperature across the year
Ae13,EA202,NA,Bashi,Population size,Population,Missing data,Missing data,AnnualMeanTemperature,17.57444477,Mean value of monthly temperature across the year
Ae14,EA202,2e+05,Ha,Population size,Population,NA,NA,AnnualMeanTemperature,20.64102269,Mean value of monthly temperature across the year
Ae15,EA202,NA,Hunde,Population size,Population,Missing data,Missing data,AnnualMeanTemperature,19.4164806,Mean value of monthly temperature across the year
Ae16,EA202,NA,Lulua,Population size,Population,Missing data,Missing data,AnnualMeanTemperature,22.40759263,Mean value of monthly temperature across the year
Ae17,EA202,NA,Rega,Population size,Population,Missing data,Missing data,AnnualMeanTemperature,19.42356247,Mean value of monthly temperature across the year
Ae18,EA202,NA,Songye,Population size,Population,Missing data,Missing data,AnnualMeanTemperature,22.69037962,Mean value of monthly temperature across the year
Ae19,EA202,NA,Garanganze,Population size,Population,Missing data,Missing data,AnnualMeanTemperature,18.12834385,Mean value of monthly temperature across the year
Ae2,EA202,38000,Kpe,Population size,Population,NA,NA,AnnualMeanTemperature,24.94847173,Mean value of monthly temperature across the year
Ae20,EA202,2e+05,Ekonda,Population size,Population,NA,NA,AnnualMeanTemperature,23.17111395,Mean value of monthly temperature across the year
Ae21,EA202,24000,Kela,Population size,Population,NA,NA,AnnualMeanTemperature,22.31036265,Mean value of monthly temperature across the year
Ae22,EA202,NA,Kutsu,Population size,Population,Missing data,Missing data,AnnualMeanTemperature,22.58297414,Mean value of monthly temperature across the year
Ae23,EA202,1e+05,Lalia,Population size,Population,NA,NA,AnnualMeanTemperature,22.6068884,Mean value of monthly temperature across the year
